domain,page,document,size [KB],status_code
http://dcg.epfl.ch,http://dcg.epfl.ch/page-113426.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page78315-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page-108578-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/tequila/help?language=fr,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page-56296-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74610-en.html,,,404.0
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Manuel.JPG,3437.601,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Orit.JPG,3802.993,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Leo.JPG,3727.522,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Benjamin.JPG,3797.406,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Ben.JPG,3651.724,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Andrey.JPG,4000.2960000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Subhash.JPG,4125.646,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Sariel.JPG,3744.733,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Roman.JPG,4198.304,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Rom.JPG,3594.63,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Piotr.JPG,3832.85,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Pavel.JPG,3651.516,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Micha.JPG,3989.125,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Maryna.JPG,3589.3650000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Larry.JPG,4207.127,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Karim.JPG,3728.232,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Jacob.JPG,3949.703,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Imre.JPG,3706.454,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gunter.JPG,3770.859,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gil.JPG,3652.099,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gabor.JPG,3772.166,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Fritz.JPG,3677.589,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Csaba.JPG,3736.381,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Anna.JPG,4056.5660000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Andrew.JPG,3719.962,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Alexander.JPG,3680.516,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin3.JPG,3691.3160000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin2.JPG,3618.5,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin.JPG,3714.322,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/janos.JPG,3640.978,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Emo.JPG,3682.215,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/DCGMeeting2.JPG,3614.481,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/DCGMeeting.JPG,4247.16,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/ConferencePicture.JPG,3761.0570000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-6.JPG,3598.335,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-5.JPG,3588.1620000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-4.JPG,3678.056,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-3.JPG,3638.118,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-2.JPG,3629.735,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-1.JPG,3629.659,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Ascona-2.JPG,3742.3070000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Ascona.JPG,3690.569,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero13.JPG,3658.7110000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero12.JPG,3703.264,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero11.JPG,3693.2690000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero10.JPG,3681.344,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero9.JPG,3699.1730000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero8.JPG,3656.847,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero7.JPG,3665.802,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero6.JPG,4185.184,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero5.JPG,3648.531,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero4.JPG,3703.475,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero3.JPG,3651.556,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero2.JPG,3615.251,
http://dcg.epfl.ch/,http://dcg.epfl.ch/page-134081-en.html/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero1.JPG,4071.0080000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Manuel.JPG,3437.601,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Orit.JPG,3802.993,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Leo.JPG,3727.522,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Benjamin.JPG,3797.406,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Ben.JPG,3651.724,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/YoungScientists-Andrey.JPG,4000.2960000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Subhash.JPG,4125.646,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Sariel.JPG,3744.733,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Roman.JPG,4198.304,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Rom.JPG,3594.63,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Piotr.JPG,3832.85,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Pavel.JPG,3651.516,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Micha.JPG,3989.125,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Maryna.JPG,3589.3650000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Larry.JPG,4207.127,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Karim.JPG,3728.232,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Jacob.JPG,3949.703,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Imre.JPG,3706.454,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gunter.JPG,3770.859,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gil.JPG,3652.099,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Gabor.JPG,3772.166,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Fritz.JPG,3677.589,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Csaba.JPG,3736.381,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Anna.JPG,4056.5660000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Andrew.JPG,3719.962,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Speaker-Alexander.JPG,3680.516,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin3.JPG,3691.3160000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin2.JPG,3618.5,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/PublicLectureJin.JPG,3714.322,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/janos.JPG,3640.978,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Emo.JPG,3682.215,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/DCGMeeting2.JPG,3614.481,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/DCGMeeting.JPG,4247.16,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/ConferencePicture.JPG,3761.0570000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-6.JPG,3598.335,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-5.JPG,3588.1620000000003,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-4.JPG,3678.056,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-3.JPG,3638.118,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-2.JPG,3629.735,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/conference-1.JPG,3629.659,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Ascona-2.JPG,3742.3070000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Ascona.JPG,3690.569,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero13.JPG,3658.7110000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero12.JPG,3703.264,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero11.JPG,3693.2690000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero10.JPG,3681.344,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero9.JPG,3699.1730000000002,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero8.JPG,3656.847,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero7.JPG,3665.802,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero6.JPG,4185.184,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero5.JPG,3648.531,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero4.JPG,3703.475,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero3.JPG,3651.556,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero2.JPG,3615.251,
http://dcg.epfl.ch/,http://dcg.epfl.ch/cms/lang/en/pid/134081/,https://documents.epfl.ch/users/v/va/valcules/private/MonteVeritaPhotos/Apero1.JPG,4071.0080000000003,
http://dcg.epfl.ch,http://dcg.epfl.ch/page74600-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74601-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page78092-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74612-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74602-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74597-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page78326-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page-136895-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page74591-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page-89343.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page85509-en.html,,,404.0
http://dcg.epfl.ch,http://dcg.epfl.ch/page85253-en.html,,,404.0
